Dataset_ID,SMILES
hsp90_40,CCc1cc(N2C(=O)Nc3ccccc23)c(O)cc1O
hsp90_41,Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNS(=O)(=O)c4ccccc4)ccc23
hsp90_42,Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNS(=O)(=O)c4cccc(Cl)c4Cl)ccc23
hsp90_43,Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNS(=O)(=O)c4ccccc4O)ccc23
hsp90_44,Oc1cc(O)c(cc1Cl)N2C(=O)Nc3cc(CNS(=O)(=O)c4cccnc4)ccc23
hsp90_45,Oc1cc(O)c(cc1Br)N2C(=O)Nc3cc(CNS(=O)(=O)c4ccc5ccccc5c4)ccc23
hsp90_46,Oc1cc(O)c(cc1Br)N2C(=O)Nc3cc(CNS(=O)(=O)c4cccc5ccccc45)ccc23
hsp90_47,Oc1cc(O)c(cc1Br)N2C(=O)Nc3cc(CNS(=O)(=O)c4ccc(cc4)c5ccccc5)ccc23
hsp90_48,Oc1ccc(N2C(=O)Nc3cccnc23)c(O)c1
hsp90_49,Oc1cc(O)c(cc1Br)N2C(=O)Nc3cc(CNS(=O)(=O)Cc4ccccc4)ccc23
hsp90_50,Oc1ccc(N2C(=O)Nc3cc(CNS(=O)(=O)Cc4ccccc4)ccc23)c(O)c1
hsp90_51,CCN1C(=O)N(c2ccccc2OC)c3ccccc13
hsp90_52,[O-][N+](=O)c1ccc(N2C(=O)Nc3ccccc23)c(Cl)c1
hsp90_53,Oc1ccccc1N2C(=O)Nc3c(Cl)cccc23
hsp90_54,Oc1ccc(cc1N2C(=O)Nc3cccc(c23)C(F)(F)F)C(F)(F)F
hsp90_55,Oc1ccc(CN2C(=O)Nc3cc(ccc23)C#N)c(O)c1
hsp90_56,NS(=O)(=O)c1ccc2N(Cc3ccc(O)cc3O)C(=O)Nc2c1
hsp90_57,CCCCCc1ccc(cc1)c2cc(N3C(=O)Nc4cc(ccc34)C(F)(F)F)c(O)cc2O
hsp90_58,Oc1cc(O)c(cc1N2C(=O)Nc3cc(ccc23)C(F)(F)F)c4cccc(c4)C(=O)NCc5ccccc5
hsp90_59,COc1cc(C#N)c(Cl)cc1N2C(=O)Nc3ccccc23
hsp90_60,COc1cc(C(=O)NOCc2ccccc2)c(Cl)cc1N3C(=O)Nc4ccccc34
hsp90_61,CC1(O)Oc2cc(O)c(cc2c3ccccc13)N4C(=O)Nc5ccccc45
hsp90_63,Cc1cc(nc(N)n1)c2ccccc2c3ccccc3
hsp90_64,Nc1nc(Cl)cc(n1)c2ccc(cc2)C#N
hsp90_65,Cc1cc(nc(N)n1)c2cc3ccccc3s2
hsp90_66,Cc1cc(nc(N)n1)c2cccc3ccccc23
hsp90_68,CCCCOc1ccccc1c2cc(C)nc(N)n2
hsp90_69,CC(C)Oc1ccccc1c2cc(C)nc(N)n2
hsp90_70,COc1cccc(OC)c1c2cc(C)nc(N)n2
hsp90_71,COc1ccc(cc1OC)c2cc(C)nc(N)n2
hsp90_72,Nc1nc(cc(n1)C(F)(F)F)c2ccccc2Cl
hsp90_73,Cc1cc(nc(N)n1)c2ccc(cc2Cl)[N+](=O)[O-]
hsp90_74,Nc1nc(NCCO)cc(n1)c2ccc(Cl)cc2Cl
hsp90_75,Nc1nc(NCCN2CCOCC2)cc(n1)c3ccc(Cl)cc3Cl
hsp90_76,Cc1cc(nc(N)n1)c2ccc(cc2Cl)C#N
hsp90_77,Nc1nc(cc(n1)c2ccc(cc2Cl)C(F)(F)F)c3ccc(cc3Cl)C(F)(F)F
hsp90_78,Nc1nc(Cl)cc(n1)c2ccc(cc2Cl)[N+](=O)[O-]
hsp90_79,Nc1nc(Cl)cc(n1)c2cc3ccccc3cc2Cl
hsp90_80,Nc1nc(cc(n1)c2ccc(Cl)cc2Cl)c3cocc3
hsp90_81,CC(=O)c1ccccc1c2cc(nc(N)n2)c3ccc(Cl)cc3Cl
hsp90_82,Cc1ccccc1c2cc(nc(N)n2)c3ccc(Cl)cc3Cl
hsp90_83,CCOc1cccc(c1)c2cc(nc(N)n2)c3ccc(Cl)cc3Cl
hsp90_84,COc1ccc(c(OC)c1)c2cc(nc(N)n2)c3ccc(Cl)cc3Cl
hsp90_85,CO\N=C\c1c(Cl)nc(N)nc1c2ccc(Cl)cc2Cl
hsp90_86,Nc1nc(c(C=O)c(n1)c2ccc(Cl)cc2Cl)c3ccc(Cl)cc3Cl
hsp90_87,Nc1nc(Cl)c(\C=N\O)c(n1)c2ccc(Cl)cc2Cl
hsp90_88,Nc1nc(Cl)c(\C=N\OCC(=O)O)c(n1)c2ccc(Cl)cc2Cl
hsp90_89,CCNC(=O)CO\N=C\c1c(Cl)nc(N)nc1c2ccc(Cl)cc2Cl
hsp90_90,Cc1cc(nc(N)n1)n2nc(C)cc2CO
hsp90_91,CCOC(=O)CO\N=C\c1c(Cl)nc(N)nc1c2ccc(Cl)cc2Cl
hsp90_92,CN(CCc1ccccc1)C(=O)c2cc(C)n(n2)c3cc(C)nc(N)n3
hsp90_93,CN(CCc1ccccn1)C(=O)c2cc(C)n(n2)c3cc(C)nc(N)n3
hsp90_94,CC(C)[C@H](CO)NC(=O)c1cc(C)n(n1)c2cc(C)nc(N)n2
hsp90_95,Cc1cc(nc(N)n1)n2nc(cc2C)C(=O)NCC3COC(C)(C)O3
hsp90_96,COc1ccc(Nc2ccc(NC(=O)c3cc(C)n(n3)c4cc(C)nc(N)n4)cc2)cc1
hsp90_97,Cc1cc(nc(N)n1)n2nc(C)cc2CNc3nccs3
hsp90_98,Cc1ccc(cc1)S(=O)(=O)NCC(=O)Nc2cc(C)nn2c3cc(C)nc(N)n3
hsp90_99,Cc1cc(C=C)nc(N)n1
hsp90_100,Nc1nc2ncnn2c(c3ccc(Cl)cc3Cl)c1C#N
hsp90_101,Nc1nc(c2ccc(Cl)cc2Cl)c3cccn3n1
hsp90_102,CC(C)(C)OC(=O)\C=C\c1c(Cl)nc(N)nc1c2ccc(Cl)cc2Cl
hsp90_103,Cc1ccc(c(C)c1)c2nc(N)nn3cncc23
hsp90_104,Nc1nc(Cl)c(C#N)c(n1)c2ccc(Cl)cc2Cl
hsp90_105,Nc1nc(c2ccc(Cl)cc2Cl)c3ccnn3n1
hsp90_106,Nc1nc(c2ccc(Cl)cc2Cl)c3ncnn3n1
hsp90_107,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc23)c1C
hsp90_108,Cc1cnc(Cn2cnc3c(Cl)nc(N)nc23)c(C)c1Br
hsp90_110,Cc1cc(nc(N)n1)c2ccc(cc2C(F)(F)F)C(F)(F)F
hsp90_111,Cc1cc(NCCCCNC(=O)OC(C)(C)C)nc(N)n1
hsp90_112,Cc1cc(\C=C\CCO\C=C\2/CCOC2=O)nc(N)n1
hsp90_113,Nc1nc(cc(n1)c2cccc3Sc4ccccc4Sc23)c5ccc(Cl)cc5Cl
hsp90_114,Cc1cc(nc(N)n1)n2nc(C)cc2N
hsp90_115,COc1ccc(CCN(C)C(=O)c2cc(C)n(n2)c3cc(C)nc(N)n3)cc1OC
hsp90_116,Cc1cc(nc(N)n1)n2nc(cc2C)C(=O)NC(c3ccccc3)c4ccc(Cl)cc4
hsp90_117,Cc1cc(nc(N)n1)n2nc(cc2C)C(=O)Nc3ccc4[nH]ncc4c3
hsp90_118,Cc1cc(CN)nc(N)n1
hsp90_119,CN(C\C=C\c1cc(C)nc(N)n1)C(=O)c2ccn[nH]2
hsp90_120,Cc1cc(CNC(=O)N2CCN(C2=O)S(=O)(=O)C)nc(N)n1
hsp90_121,Oc1ccc(Sc2ccc(O)c(Br)c2)cc1Br
hsp90_122,O=C1c2ccccc2c3ccccc13
hsp90_123,OC(=O)[C@]12CCCCC1C[C@H](CC2)OC(=O)\C=C\c3ccc(O)c(O)c3
hsp90_124,Cc1cc(O)nc(O)c1C(=O)\C=C\c2ccccc2
hsp90_125,Nc1nc(N)nc(n1)c2cc3ccccc3cc2Br
hsp90_126,Nc1nc(N)nc(n1)c2cc3ccccc3cc2Cl
hsp90_127,CCOC(=O)C1Cc2cc(C(=O)c3ccccc3F)c(O)c(O)c2O1
hsp90_128,C[n+]1c(CCl)n(C)c2C(=O)c3ccccc3C(=O)c12
hsp90_129,OC(=O)c1ccc(Nc2cc3C(=O)c4ccccc4C(=O)c3c5nonc25)cc1
hsp90_130,OC(=O)c1cccc(Nc2cc3C(=O)c4ccccc4C(=O)c3c5nonc25)c1
hsp90_131,Cc1ccccc1Nc2cc3C(=O)c4ccccc4C(=O)c3c5nonc25
hsp90_132,CN(C)Cc1cc(C(=O)c2cc(CN(C)C)c(O)c(Cl)c2Cl)c(Cl)c(Cl)c1O
hsp90_133,Oc1ccc(cc1)C(=O)c2ccc(O)c(Cl)c2Cl
hsp90_134,COc1ccc(cc1)C(=O)c2ccc(O)c(Cl)c2Cl
hsp90_135,Cc1nn(C)c(O)c1c2cc(O)c3ccccc3c2O
hsp90_136,Oc1ccc(cc1)C(=O)c2ccc(O)c(O)c2O
hsp90_137,CCOC(=O)COc1ccc(C(=O)c2ccc(O)c(Cl)c2)c(Cl)c1Cl
hsp90_138,Oc1ccc(C(=O)c2ccc(O)c(O)c2O)c(O)c1
hsp90_139,Oc1ccc(C(=O)c2ccc(F)cc2)c(Cl)c1Cl
hsp90_140,CCOc1ccc(cc1)C(=O)c2ccc(O)c(Cl)c2Cl
hsp90_141,CCO\N=C(\CC)/c1cc(C(=O)c2ccccc2)c(O)cc1O
hsp90_142,Oc1ccc(C(=O)c2ccc(NCC3CCCCC3)cc2)c(Cl)c1Cl
hsp90_143,Oc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
hsp90_144,Oc1ccc(C(=O)c2ccccc2C(F)(F)F)c(Cl)c1Cl
hsp90_145,CCOC(=O)CC1(C)Oc2ccccc2O1
hsp90_146,COc1ccc(cc1)C(=O)c2cc(Cl)c(O)cc2O
hsp90_147,CCN(CC)c1nc(NCc2ccccc2)nc3[nH]cnc13
hsp90_148,CNc1ccc(cc1)C(=O)c2ccc(O)c(Cl)c2Cl
hsp90_149,Oc1ccc(C(=O)c2ccccc2)c(O)c1O
hsp90_150,COc1ccc(cc1)C(=O)c2ccc(O)c(Cl)c2N3CCCCC3
hsp90_151,CCCC(=O)c1cc(O)c(O)c(O)c1
hsp90_152,COc1ccc(cc1)C(=O)c2ccc(O)c(Br)c2
hsp90_153,O=C1NC(=O)c2ccccc2C1=O
hsp90_154,Oc1ccc(cc1)C(=O)c2cc(Cl)c(O)cc2O
hsp90_155,Oc1ccc(Sc2ccc(O)cc2O)c(O)c1
hsp90_156,Cc1cc(Sc2ccc(O)c(C)c2)ccc1O
hsp90_157,Nc1ccc2cc(NCCc3ccccc3)cc(Nc4ncccn4)c2n1
hsp90_158,Oc1ccc(cc1)C(=O)c2cc(Cl)c(O)c(c2)N3CCCCC3
hsp90_159,CC1=C(C(=O)c2ccc(O)c(O)c2O1)c3ccc(Cl)cc3
hsp90_160,Oc1ccc(cc1)C(=O)c2ccc(O)cc2Cl
hsp90_161,O=C1c2ccccc2C(=O)c3c1ccc4nonc34
hsp90_162,Oc1cc(O)c(cc1Cl)C(=O)c2ccccc2
hsp90_163,Oc1ccc(C(=O)c2ccccc2)c(O)c1
hsp90_164,Oc1ccc(cc1)C(=O)c2cc(Cl)ccc2O
hsp90_165,CC(=O)Oc1ccc(c2ccccc12)[N+](=O)[O-]
hsp90_166,Nc1cc(O)c(Cl)cc1C(=O)c2ccc(O)cc2
hsp90_167,Oc1ccc(cc1Cl)C(=O)c2ccccc2
hsp90_168,Oc1cccc(c1)C(=O)c2cc(Cl)c(O)cc2O
hsp90_169,Cc1c(O)c(CC=C)cc(C(=O)c2ccccc2F)c1O
hsp90_170,Oc1cc(O)c2C(=O)C[C@H](Oc2c1)c3ccc(O)c(O)c3
hsp90_171,OCCOc1ccc(C(=O)c2cc(Cl)c(O)c(CNC(=O)CCl)c2)c(Cl)c1Cl
hsp90_172,Cc1cc(nc(N)n1)C(F)(F)F
hsp90_173,Oc1cc(O)c2C(=O)c3ccccc3C(=O)c2c1O
hsp90_174,CC(=O)Oc1ccc2C(=O)C(=C(C)Oc2c1OC(=O)C)Cc3ccccc3
hsp90_175,Oc1cccc(c1)C(=O)c2ccc(O)cc2O
hsp90_176,Oc1ccc(cc1)C(=O)c2ccc(O)cc2O
hsp90_177,Nc1ccc(N)c2C(=O)c3c(O)c(O)cc(O)c3C(=O)c12
hsp90_178,Oc1ccc(C(=O)c2ccc(NCc3ccccc3)cc2)c(Cl)c1Cl
hsp90_179,Nc1nc(N)nc(n1)c2ccccc2Cl
hsp90_180,COc1cc(F)c(Cl)cc1C(=O)c2ccc(OCc3ccccc3)cc2
hsp90_181,CC(C)(C)c1ccc(cc1)C(=O)c2ccc(O)cc2O
hsp90_182,COC(=O)c1cc(cc(C(=O)OC)c1OC)C(=O)c2ccc(OC)cc2
hsp90_183,O=C(c1ccc(O)c(N2CCCCC2)c1)c3ccc(O)cc3
